crate	lint	api	reason
boxddd	enum_variant_missing	variant Error::InvalidJointId	typed_error_model
boxddd	enum_variant_missing	variant Error::InvalidShapeId	typed_error_model
boxddd	enum_variant_missing	variant Error::InvalidWorldId	typed_error_model
boxddd	enum_variant_missing	variant Error::NulByteInString	typed_error_model
boxddd	enum_variant_missing	variant Error::ResourceLifetimeViolation	typed_error_model
boxddd	enum_variant_missing	variant Error::WrongJointType	typed_error_model
boxddd	feature_missing	feature serialize in the package's Cargo.toml	feature_surface_cleanup
boxddd	function_missing	function boxddd::collide_capsule_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::collide_hull_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::collide_sphere_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::collision::collide_capsule_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::collision::collide_hull_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::collision::collide_sphere_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::prelude::collide_capsule_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::prelude::collide_hull_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::prelude::collide_sphere_and_triangle	collision_api_cleanup
boxddd	function_missing	function boxddd::raw::try_body_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_joint_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_length_units_per_meter	result_first_api
boxddd	function_missing	function boxddd::raw::try_set_body_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_set_joint_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_set_length_units_per_meter	result_first_api
boxddd	function_missing	function boxddd::raw::try_set_shape_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_set_stall_threshold	result_first_api
boxddd	function_missing	function boxddd::raw::try_set_world_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_shape_raw_user_data	result_first_api
boxddd	function_missing	function boxddd::raw::try_stall_threshold	result_first_api
boxddd	function_missing	function boxddd::raw::try_world_raw_user_data	result_first_api
boxddd	inherent_method_missing	BodyDef::raw	result_first_api
boxddd	inherent_method_missing	BodyId::from_raw	owner_scoped_handles
boxddd	inherent_method_missing	BodyId::into_raw	owner_scoped_handles
boxddd	inherent_method_missing	BodyId::is_valid	owner_scoped_handles
boxddd	inherent_method_missing	ContactData::from_raw	result_first_api
boxddd	inherent_method_missing	ContactId::from_raw	owner_scoped_handles
boxddd	inherent_method_missing	ContactId::into_raw	owner_scoped_handles
boxddd	inherent_method_missing	ContactId::is_valid	owner_scoped_handles
boxddd	inherent_method_missing	DistanceJointDef::raw	raw_data_encapsulation
boxddd	inherent_method_missing	DistanceJointDef::raw_user_data	raw_data_encapsulation
boxddd	inherent_method_missing	DynamicTree::box_cast	result_first_api
boxddd	inherent_method_missing	DynamicTree::query_closest	result_first_api
boxddd	inherent_method_missing	DynamicTree::ray_cast	result_first_api
boxddd	inherent_method_missing	DynamicTreeProxyId::generation	owner_scoped_handles
boxddd	inherent_method_missing	DynamicTreeProxyId::index	owner_scoped_handles
boxddd	inherent_method_missing	ExplosionDef::raw	result_first_api
boxddd	inherent_method_missing	FilterJointDef::raw	raw_data_encapsulation
